Timestamp,EPC,Frequency,PhaseAngle,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
17.362035,588,902.750000,-3.178408,-3.178408,5.105088,-3.113705,3.858699
27.543195,588,902.750000,-4.258331,-4.258331,4.025166,-4.412293,2.560112
37.730627,588,902.750000,-4.951690,-4.951690,3.331806,-5.420457,1.551948
47.888979,588,902.750000,-5.976389,-5.976389,2.307107,-6.157163,0.815242
58.036896,588,902.750000,-1.135146,-7.418331,0.865165,-6.646728,0.325677
68.197724,588,902.750000,-1.791690,-8.074875,0.208621,-6.911599,0.060806
78.368084,588,902.750000,-1.957359,-8.240545,0.042951,-6.972405,0.000000
88.523768,588,902.750000,-1.411262,-7.694448,0.589049,-6.850587,0.121817
98.658100,588,902.750000,-0.257709,-6.540894,1.742602,-6.568528,0.403877
108.814782,588,902.750000,-4.798292,-4.798292,3.485204,-6.146356,0.826049
118.932656,588,902.750000,-3.755185,-3.755185,4.528311,-5.608195,1.364210
129.106916,588,902.750000,-3.380894,-3.380894,4.902603,-4.970084,2.002321
139.258036,588,902.750000,-3.411573,-3.411573,4.871923,-4.257928,2.714477
149.410946,588,902.750000,-3.564971,-3.564971,4.718525,-3.491611,3.480794
159.567772,588,902.750000,-3.497476,-3.497476,4.786020,-2.692327,4.280077
169.723506,588,902.750000,-3.092505,-3.092505,5.190991,-1.881860,5.090544
179.898457,588,902.750000,-2.153709,-2.153709,6.129787,-1.080037,5.892367
190.022467,588,902.750000,-0.914253,-0.914253,7.369244,-0.313653,6.658751
200.186470,588,902.750000,-6.019341,0.263845,8.547341,0.402833,7.375238
210.333746,588,902.750000,-4.921010,1.362175,9.645671,1.043879,8.016284
220.487368,588,902.750000,-3.822680,2.460505,10.744001,1.589671,8.562076
