Timestamp,EPC,Frequency,PhaseAngle,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
18.565610,000000000000000000000588,902.750000,-5.743224,-5.743224,5.344389,-5.768612,5.120146
28.828642,000000000000000000000588,902.750000,-0.638136,-6.921321,4.166292,-7.194802,3.693956
39.018261,000000000000000000000588,902.750000,-1.742602,-8.025787,3.061826,-8.364153,2.524605
49.227160,000000000000000000000588,902.750000,-2.712078,-8.995263,2.092350,-9.299720,1.589039
59.454908,000000000000000000000588,902.750000,-3.423845,-9.707030,1.380583,-10.010619,0.878139
69.642700,000000000000000000000588,902.750000,-4.037437,-10.320623,0.766990,-10.503893,0.384865
79.905984,000000000000000000000588,902.750000,-4.503768,-10.786953,0.300660,-10.794547,0.094211
90.042260,000000000000000000000588,902.750000,-4.736933,-11.020118,0.067495,-10.888750,0.000009
100.289100,000000000000000000000588,902.750000,-4.804428,-11.087613,0.000000,-10.799658,0.089101
110.509497,000000000000000000000588,902.750000,-4.700117,-10.983302,0.104311,-10.536672,0.352087
120.748686,000000000000000000000588,902.750000,-4.270603,-10.553788,0.533825,-10.109355,0.779404
130.931298,000000000000000000000588,902.750000,-3.663146,-9.946331,1.141282,-9.532190,1.356569
141.175840,000000000000000000000588,902.750000,-2.871612,-9.154797,1.932816,-8.808845,2.079913
151.355018,000000000000000000000588,902.750000,-1.656699,-7.939885,3.147729,-7.958799,2.929960
161.589058,000000000000000000000588,902.750000,-0.368155,-6.651341,4.436272,-6.982699,3.906059
171.778416,000000000000000000000588,902.750000,-5.510059,-5.510059,5.577554,-5.900286,4.988473
182.060004,000000000000000000000588,902.750000,-4.147884,-4.147884,6.939729,-4.706819,6.181939
192.211099,000000000000000000000588,902.750000,-3.031146,-3.031146,8.056467,-3.439115,7.449644
202.404240,000000000000000000000588,902.750000,-2.073942,-2.073942,9.013671,-2.087190,8.801569
212.648458,000000000000000000000588,902.750000,-1.036971,-1.036971,10.050642,-0.659247,10.229512
222.841808,000000000000000000000588,902.750000,-5.859807,0.423379,11.510992,0.820059,11.708817
