Timestamp,EPC,Frequency,PhaseAngle,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
13.345088,587,902.750000,-2.030991,-2.030991,5.074408,-1.858082,5.068792
23.473701,587,902.750000,-2.773437,-2.773437,4.331962,-2.751287,4.175588
33.602821,587,902.750000,-3.503612,-3.503612,3.601787,-3.555151,3.371724
43.785300,587,902.750000,-4.019030,-4.019030,3.086369,-4.274130,2.652745
53.939928,587,902.750000,-4.497632,-4.497632,2.607767,-4.903129,2.023745
64.064008,587,902.750000,-5.135768,-5.135768,1.969631,-5.443708,1.483166
74.314350,587,902.750000,-5.951845,-5.951845,1.153554,-5.903996,1.022879
84.477961,587,902.750000,-0.380427,-6.663613,0.441786,-6.274905,0.651970
94.619804,587,902.750000,-0.717903,-7.001088,0.104311,-6.561147,0.365728
104.757326,587,902.750000,-0.822214,-7.105399,0.000000,-6.764507,0.162368
114.933262,587,902.750000,-0.785398,-7.068583,0.036816,-6.886399,0.040476
125.065566,587,902.750000,-0.589049,-6.872234,0.233165,-6.926874,0.000001
135.210734,587,902.750000,-0.411107,-6.694292,0.411107,-6.887495,0.039380
145.363484,587,902.750000,-0.306796,-6.589981,0.515418,-6.769012,0.157863
155.518717,587,902.750000,-0.116583,-6.399768,0.705631,-6.572340,0.354535
165.673245,587,902.750000,-6.203418,-6.203418,0.901981,-6.298493,0.628382
175.815562,587,902.750000,-5.970253,-5.970253,1.135146,-5.948899,0.977976
185.967157,587,902.750000,-5.546875,-5.546875,1.558524,-5.523821,1.403054
196.115093,587,902.750000,-5.031457,-5.031457,2.073942,-5.024710,1.902165
206.276255,587,902.750000,-4.448544,-4.448544,2.656855,-4.451604,2.475271
216.425161,587,902.750000,-3.926991,-3.926991,3.178408,-3.806901,3.119973
