timestamp,Phase,shiftedRegressedUnwrappedPhase
0.211207,-8.929302166282318,12.496210754394511
8.19279,-9.121361007246724,10.892364942304123
15.947227,-10.421524588275517,9.43355658974164
24.097746,-12.351126326027284,8.007324722195591
32.274496,-13.693177835162963,6.688344275108594
41.062406,-15.047328875299549,5.397482302552776
48.383511,-16.680166202848934,4.4236968242715236
56.014374,-17.24153499429117,3.5083283484357466
63.759574,-18.450209589759197,2.684530105206129
71.297908,-18.575484687436525,1.9858680930696408
78.836422,-19.055109347115433,1.3901847973545998
86.404123,-19.584844045865278,0.897042469533055
93.785207,-20.11866936004948,0.5184566734855167
101.346648,-20.403989786596206,0.236703842871119
108.869004,-20.632382481681404,0.06417305350171887
116.457087,-20.72083462991427,0.0002910069967683171
123.986091,-20.618048699143113,0.04749894666019827
131.548705,-20.377400786272858,0.2070683925114949
138.985819,-20.21991209204993,0.4748231380172143
146.50716,-19.85060933521359,0.8586155493966174
154.068642,-19.374177350995645,1.360251079477603
161.64024,-18.620680999430814,1.9801489624978146
169.367537,-17.86985352500913,2.7354252135527517
177.152844,-17.1311482402283,3.6229970269642813
184.55057,-16.151795042577213,4.585391967369425
192.69448,-14.748834260809803,5.780396277535612
200.470167,-13.623794704141698,7.0553193888909576
208.024401,-12.292201984651356,8.420561979527726
215.980677,-10.5511438862871,9.994793258843842
223.769902,-9.4544349226685,11.672842664184332
