Timestamp,EPC,Frequency,PhaseAngle,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
18.566552,000000000000000000000587,902.750000,-5.528467,-5.528467,9.688623,-5.626710,9.425011
28.829820,000000000000000000000587,902.750000,-0.668816,-6.952001,8.265088,-6.868468,8.183254
39.015347,000000000000000000000587,902.750000,-1.963495,-8.246681,6.970409,-8.028133,7.023589
49.224873,000000000000000000000587,902.750000,-3.031146,-9.314331,5.902758,-9.114427,5.937295
59.456768,000000000000000000000587,902.750000,-3.847224,-10.130409,5.086680,-10.123208,4.928513
69.639770,000000000000000000000587,902.750000,-4.657166,-10.940351,4.276738,-11.044334,4.007388
79.906919,000000000000000000000587,902.750000,-5.534603,-11.817788,3.399301,-11.885939,3.165782
90.039745,000000000000000000000587,902.750000,-0.000000,-12.566371,2.650719,-12.627349,2.424372
100.292254,000000000000000000000587,902.750000,-0.613592,-13.179963,2.037126,-13.283894,1.767828
110.510688,000000000000000000000587,902.750000,-1.190369,-13.756740,1.460350,-13.841106,1.210615
120.745644,000000000000000000000587,902.750000,-1.650563,-14.216934,1.000155,-14.298536,0.753185
130.933516,000000000000000000000587,902.750000,-2.018719,-14.585089,0.632000,-14.650358,0.401364
141.173433,000000000000000000000587,902.750000,-2.411418,-14.977788,0.239301,-14.896466,0.155255
151.354344,000000000000000000000587,902.750000,-2.638447,-15.204818,0.012272,-15.030875,0.020846
161.586127,000000000000000000000587,902.750000,-2.620039,-15.186410,0.030680,-15.051721,0.000000
171.777475,000000000000000000000587,902.750000,-2.435961,-15.002332,0.214757,-14.955214,0.096507
182.062481,000000000000000000000587,902.750000,-2.129165,-14.695536,0.521553,-14.735682,0.316039
192.212590,000000000000000000000587,902.750000,-1.724194,-14.290565,0.926524,-14.395315,0.656407
202.405065,000000000000000000000587,902.750000,-1.270136,-13.836507,1.380583,-13.926440,1.125281
212.646114,000000000000000000000587,902.750000,-0.773126,-13.339497,1.877592,-13.323622,1.728099
222.839159,000000000000000000000587,902.750000,-0.030680,-12.597050,2.620039,-12.589100,2.462621
