Timestamp,EPC,Frequency,PhaseAngle,RSSI,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
12.537741,000000000000000000000588,902.750000,-2.147573,-55.500000,-2.147573,8.357127,-1.959631,8.193703
22.762965,000000000000000000000588,902.750000,-3.160000,-54.000000,-3.160000,7.344700,-3.328238,6.825096
32.953896,000000000000000000000588,902.750000,-4.215379,-52.500000,-4.215379,6.289321,-4.586916,5.566418
43.218688,000000000000000000000588,902.750000,-5.460972,-52.000000,-5.460972,5.043729,-5.742089,4.411245
53.442228,000000000000000000000588,902.750000,-0.269981,-50.000000,-6.553166,3.951535,-6.773961,3.379372
63.614283,000000000000000000000588,902.750000,-1.178097,-48.500000,-7.461283,3.043418,-7.676871,2.476463
73.827279,000000000000000000000588,902.750000,-2.067806,-48.000000,-8.350991,2.153709,-8.452964,1.700370
84.068860,000000000000000000000588,902.750000,-2.932971,-47.000000,-9.216157,1.288544,-9.093672,1.059661
94.257499,000000000000000000000588,902.750000,-3.564971,-45.500000,-9.848157,0.656544,-9.588129,0.565205
104.449759,000000000000000000000588,902.750000,-4.019030,-44.500000,-10.302215,0.202485,-9.933877,0.219457
114.687978,000000000000000000000588,902.750000,-4.190836,-44.000000,-10.474021,0.030680,-10.124980,0.028354
124.905164,000000000000000000000588,902.750000,-4.147884,-44.500000,-10.431069,0.073631,-10.153334,0.000000
135.091952,000000000000000000000588,902.750000,-3.890175,-46.000000,-10.173361,0.331340,-10.013890,0.139444
145.362354,000000000000000000000588,902.750000,-3.472933,-47.500000,-9.756118,0.748583,-9.697448,0.455886
155.531218,000000000000000000000588,902.750000,-2.797981,-50.000000,-9.081166,1.423534,-9.203927,0.949407
165.730946,000000000000000000000588,902.750000,-1.957359,-51.500000,-8.240545,2.264156,-8.522536,1.630798
176.009783,000000000000000000000588,902.750000,-1.122874,-53.500000,-7.406059,3.098641,-7.640698,2.512636
186.241869,000000000000000000000588,902.750000,-6.142059,-57.000000,-6.142059,4.362641,-6.561968,3.591366
196.386919,000000000000000000000588,902.750000,-4.945554,-56.500000,-4.945554,5.559146,-5.288302,4.865032
206.662688,000000000000000000000588,902.750000,-3.902447,-58.000000,-3.902447,6.602253,-3.784730,6.368604
216.884000,000000000000000000000588,902.750000,-2.712078,-60.000000,-2.712078,7.792622,-2.069672,8.083662
