Timestamp,EPC,Frequency,PhaseAngle,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
11.377713,587,902.750000,-4.154020,-4.154020,11.682798,-4.134689,11.502189
21.511671,587,902.750000,-5.497787,-5.497787,10.339031,-5.410370,10.226508
31.659146,587,902.750000,-0.564505,-6.847690,8.989127,-6.668489,8.968389
41.789454,587,902.750000,-1.730330,-8.013516,7.823302,-7.892589,7.744289
51.942748,587,902.750000,-2.718214,-9.001399,6.835418,-9.074792,6.562086
62.102639,587,902.750000,-3.755185,-10.038370,5.798447,-10.200256,5.436622
72.273382,587,902.750000,-4.822836,-11.106021,4.730797,-11.256530,4.380348
82.412047,587,902.750000,-5.822991,-12.106176,3.730641,-12.226656,3.410222
92.557388,587,902.750000,-0.472466,-13.038837,2.797981,-13.101951,2.534927
102.699475,587,902.750000,-1.239456,-13.805827,2.030991,-13.868819,1.768059
112.851563,587,902.750000,-1.994175,-14.560546,1.276272,-14.515442,1.121436
122.978397,587,902.750000,-2.583224,-15.149594,0.687223,-15.027185,0.609693
133.149636,587,902.750000,-2.988195,-15.554565,0.282252,-15.394445,0.242433
143.297990,587,902.750000,-3.233632,-15.800002,0.036816,-15.601600,0.035278
153.457140,587,902.750000,-3.221360,-15.787730,0.049087,-15.636878,0.000000
163.605133,587,902.750000,-2.914563,-15.480934,0.355884,-15.487489,0.149389
173.786543,587,902.750000,-2.466641,-15.033012,0.803806,-15.139376,0.497502
183.898144,587,902.750000,-1.785554,-14.351924,1.484893,-14.584470,1.052408
194.075204,587,902.750000,-0.987884,-13.554254,2.282563,-13.802728,1.834150
204.213442,587,902.750000,-0.196350,-12.762720,3.074097,-12.788582,2.848296
214.343003,587,902.750000,-5.516195,-11.799380,4.037437,-11.527999,4.108879
