Timestamp,EPC,Frequency,PhaseAngle,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
11.378647,588,902.750000,-2.472777,-2.472777,6.798603,-2.600573,6.372998
21.512561,588,902.750000,-3.871768,-3.871768,5.399612,-4.198239,4.775333
31.660368,588,902.750000,-5.301438,-5.301438,3.969942,-5.561436,3.412135
41.791904,588,902.750000,-0.288388,-6.571574,2.699806,-6.689868,2.283704
51.943455,588,902.750000,-1.116738,-7.399923,1.871457,-7.591127,1.382444
62.103237,588,902.750000,-1.846913,-8.130098,1.141282,-8.266901,0.706670
72.273933,588,902.750000,-2.478913,-8.762098,0.509282,-8.720431,0.253140
82.410355,588,902.750000,-2.890020,-9.173205,0.098175,-8.954154,0.019418
92.554940,588,902.750000,-2.957515,-9.240700,0.030680,-8.973572,0.000000
102.698926,588,902.750000,-2.748894,-9.032079,0.239301,-8.782107,0.191465
112.852464,588,902.750000,-2.362330,-8.645516,0.625864,-8.382974,0.590598
122.978943,588,902.750000,-1.570796,-7.853982,1.417398,-7.781819,1.191752
133.149096,588,902.750000,-0.644272,-6.927457,2.343923,-6.977637,1.995935
143.298823,588,902.750000,-5.927302,-5.927302,3.344078,-5.978496,2.995076
153.455044,588,902.750000,-4.546719,-4.546719,4.724661,-4.785844,4.187727
163.604305,588,902.750000,-3.209088,-3.209088,6.062292,-3.404962,5.568609
173.787496,588,902.750000,-1.846913,-1.846913,7.424467,-1.833241,7.140331
183.898799,588,902.750000,-6.160467,0.122718,9.394098,-0.091722,8.881850
194.074618,588,902.750000,-4.454680,1.828505,11.099885,1.839195,10.812766
204.216436,588,902.750000,-2.239612,4.043573,13.314953,3.937933,12.911504
214.342060,588,902.750000,-0.429515,5.853671,15.125051,6.203214,15.176786
