Timestamp,EPC,Frequency,PhaseAngle,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
40.204222,588,902.750000,-2.521864,-2.521864,10.823768,-2.495318,10.959085
50.368760,588,902.750000,-3.331806,-3.331806,10.013827,-3.856018,9.598385
60.525073,588,902.750000,-4.657166,-4.657166,8.688467,-5.197471,8.256932
70.683773,588,902.750000,-0.067495,-6.350680,6.994952,-6.502173,6.952230
80.844691,588,902.750000,-1.638291,-7.921477,5.424156,-7.751150,5.703253
90.971151,588,902.750000,-2.840932,-9.124118,4.221515,-8.921344,4.533059
101.122417,588,902.750000,-3.926991,-10.210176,3.135457,-10.000863,3.453540
111.277933,588,902.750000,-4.945554,-11.228739,2.116893,-10.968240,2.486163
121.452076,588,902.750000,-5.663457,-11.946642,1.398990,-11.805498,1.648905
131.604304,588,902.750000,-6.234098,-12.517283,0.828350,-12.490445,0.963958
141.754226,588,902.750000,-0.392699,-12.959070,0.386563,-13.006050,0.448353
151.900249,588,902.750000,-0.681087,-13.247458,0.098175,-13.333526,0.120877
162.045575,588,902.750000,-0.730175,-13.296545,0.049087,-13.454255,0.000148
172.205304,588,902.750000,-0.687223,-13.253594,0.092039,-13.349100,0.105303
182.367923,588,902.750000,-0.337476,-12.903846,0.441786,-12.998674,0.455729
192.523323,588,902.750000,-5.982525,-12.265710,1.079922,-12.384566,1.069837
202.667957,588,902.750000,-5.190991,-11.474176,1.871457,-11.488820,1.965583
212.797149,588,902.750000,-4.221515,-10.504700,2.840932,-10.294146,3.160257
