Timestamp,EPC,Frequency,PhaseAngle,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
17.970614,000000000000000000000588,902.750000,-5.675729,-5.675729,5.418020,-5.684033,5.205362
28.194542,000000000000000000000588,902.750000,-0.490874,-6.774059,4.319690,-7.118670,3.770726
38.391677,000000000000000000000588,902.750000,-1.693515,-7.976700,3.117049,-8.302591,2.586804
48.616937,000000000000000000000588,902.750000,-2.699806,-8.982991,2.110758,-9.252652,1.636744
58.860740,000000000000000000000588,902.750000,-3.429981,-9.713166,1.380583,-9.976912,0.912483
69.054295,000000000000000000000588,902.750000,-4.000622,-10.283807,0.809942,-10.482070,0.407325
79.284243,000000000000000000000588,902.750000,-4.460816,-10.744001,0.349748,-10.783398,0.105997
89.452701,000000000000000000000588,902.750000,-4.749205,-11.032390,0.061359,-10.889206,0.000190
99.666139,000000000000000000000588,902.750000,-4.786020,-11.069205,0.024544,-10.811554,0.077841
109.918669,000000000000000000000588,902.750000,-4.693981,-10.977167,0.116583,-10.558785,0.330611
120.100326,000000000000000000000588,902.750000,-4.307418,-10.590603,0.503146,-10.144908,0.744487
130.359713,000000000000000000000588,902.750000,-3.644738,-9.927924,1.165825,-9.574307,1.315088
140.537314,000000000000000000000588,902.750000,-2.804117,-9.087302,2.006447,-8.866419,2.022977
150.755683,000000000000000000000588,902.750000,-1.619884,-7.903069,3.190680,-8.024085,2.865310
160.975451,000000000000000000000588,902.750000,-0.503146,-6.786331,4.307418,-7.060255,3.829140
171.173928,000000000000000000000588,902.750000,-5.608234,-5.608234,5.485515,-5.987915,4.901480
181.417200,000000000000000000000588,902.750000,-4.424001,-4.424001,6.669748,-4.810295,6.079100
191.605127,000000000000000000000588,902.750000,-3.227496,-3.227496,7.866253,-3.549549,7.339847
201.786485,000000000000000000000588,902.750000,-2.123029,-2.123029,8.970720,-2.210897,8.678499
212.022916,000000000000000000000588,902.750000,-1.024699,-1.024699,10.069050,-0.796193,10.093202
222.239829,000000000000000000000588,902.750000,-5.957981,0.325204,11.418953,0.674083,11.563478
