Timestamp,EPC,Frequency,PhaseAngle,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
28.229096,E2806A1600004010EB58E22E,902.750000,-6.105244,-6.105244,9.277516,-5.910175,9.155751
38.393244,E2806A1600004010EB58E22E,902.750000,-0.681087,-6.964273,8.418487,-7.039337,8.026590
48.615763,E2806A1600004010EB58E22E,902.750000,-2.073942,-8.357127,7.025632,-8.093186,6.972740
58.859631,E2806A1600004010EB58E22E,902.750000,-3.117049,-9.400234,5.982525,-9.068434,5.997492
69.055712,E2806A1600004010EB58E22E,902.750000,-3.933127,-10.216312,5.166447,-9.960290,5.105636
79.285543,E2806A1600004010EB58E22E,902.750000,-4.583535,-10.866720,4.516039,-10.777533,4.288393
89.455817,E2806A1600004010EB58E22E,902.750000,-4.970098,-11.253283,4.129476,-11.514469,3.551457
99.663210,E2806A1600004010EB58E22E,902.750000,-5.583690,-11.866875,3.515884,-12.179828,2.886098
109.919626,E2806A1600004010EB58E22E,902.750000,-6.178875,-12.462060,2.920699,-12.774931,2.290995
120.135852,E2806A1600004010EB58E22E,902.750000,-0.466330,-13.032701,2.350059,-13.295992,1.769934
130.362151,E2806A1600004010EB58E22E,902.750000,-0.908117,-13.474487,1.908272,-13.747377,1.318549
140.538899,E2806A1600004010EB58E22E,902.750000,-1.337631,-13.904002,1.478757,-14.128331,0.937596
150.756350,E2806A1600004010EB58E22E,902.750000,-1.951224,-14.517594,0.865165,-14.443797,0.622129
160.978811,E2806A1600004010EB58E22E,902.750000,-2.251884,-14.818254,0.564505,-14.693705,0.372221
171.173384,E2806A1600004010EB58E22E,902.750000,-2.656855,-15.223225,0.159534,-14.878946,0.186980
181.417747,E2806A1600004010EB58E22E,902.750000,-2.736622,-15.302992,0.079767,-15.002211,0.063715
191.605708,E2806A1600004010EB58E22E,902.750000,-2.650719,-15.217089,0.165670,-15.063758,0.002168
201.785942,E2806A1600004010EB58E22E,902.750000,-2.417554,-14.983924,0.398835,-15.065926,0.000000
212.022249,E2806A1600004010EB58E22E,902.750000,-2.282563,-14.848934,0.533825,-15.009785,0.056141
222.239058,E2806A1600004010EB58E22E,902.750000,-2.294835,-14.861206,0.521553,-14.896918,0.169008
