Timestamp,EPC,Frequency,PhaseAngle,RSSI,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
16.126984,000000000000000000000587,902.750000,-5.896622,-56.500000,-5.896622,5.982525,-5.877379,6.136387
26.329703,000000000000000000000587,902.750000,-0.570641,-56.500000,-6.853826,5.025321,-6.869681,5.144085
36.578621,000000000000000000000587,902.750000,-1.386719,-56.000000,-7.669904,4.209243,-7.785229,4.228536
46.750986,000000000000000000000587,902.750000,-2.184389,-56.000000,-8.467574,3.411573,-8.611352,3.402414
57.031681,000000000000000000000587,902.750000,-2.865476,-57.000000,-9.148661,2.730486,-9.360575,2.653191
67.185462,000000000000000000000587,902.750000,-3.718369,-58.000000,-10.001555,1.877592,-10.013921,1.999844
77.445463,000000000000000000000587,902.750000,-4.522175,-58.000000,-10.805361,1.073787,-10.584567,1.429198
87.620077,000000000000000000000587,902.750000,-5.166447,-57.500000,-11.449633,0.429515,-11.059515,0.954251
97.900736,000000000000000000000587,902.750000,-5.307574,-55.500000,-11.590759,0.288388,-11.445323,0.568443
108.069998,000000000000000000000587,902.750000,-5.497787,-55.500000,-11.780972,0.098175,-11.731832,0.281934
118.305546,000000000000000000000587,902.750000,-5.479379,-55.000000,-11.762565,0.116583,-11.922599,0.091167
128.477034,000000000000000000000587,902.750000,-5.454836,-55.500000,-11.738021,0.141126,-12.013097,0.000669
138.768462,000000000000000000000587,902.750000,-5.540739,-56.500000,-11.823924,0.055223,-12.002044,0.011722
148.942269,000000000000000000000587,902.750000,-5.553010,-58.000000,-11.836196,0.042951,-11.887584,0.126182
159.195369,000000000000000000000587,902.750000,-5.442564,-59.000000,-11.725749,0.153398,-11.665997,0.347769
169.368361,000000000000000000000587,902.750000,-5.086680,-59.500000,-11.369866,0.509282,-11.338671,0.675095
179.634644,000000000000000000000587,902.750000,-4.675573,-59.500000,-10.958759,0.920388,-10.897724,1.116041
189.848387,000000000000000000000587,902.750000,-4.129476,-59.500000,-10.412662,1.466486,-10.346676,1.667089
200.087729,000000000000000000000587,902.750000,-3.442253,-60.000000,-9.725438,2.153709,-9.679664,2.334102
210.263226,000000000000000000000587,902.750000,-2.994330,-61.500000,-9.277516,2.601631,-8.901085,3.112680
220.482492,000000000000000000000587,902.750000,-1.552389,-61.500000,-7.835574,4.043573,-8.000973,4.012792
