timestamp,Phase,shiftedRegressedUnwrappedPhase
0.210265,-6.934615815101688,9.112251363223738
7.990154,-6.888596391465135,8.13965106813862
15.739312,-9.212065958182569,7.218716592507535
23.290959,-9.915140485963489,6.368396865045103
31.472826,-10.674460975966884,5.501019543409715
39.003638,-11.284012561240855,4.753473609104674
46.540784,-12.138219532229312,4.055276409186828
54.376002,-12.652614423100298,3.3837349517636977
61.953348,-13.416809563162971,2.78814175556181
69.450346,-14.026720324426304,2.252156726988474
77.868248,-14.705762486530357,1.7149507889513949
85.382254,-14.73702647592154,1.2944545553109421
92.984172,-15.325304787770948,0.9269353988512528
100.749069,-15.484062229026991,0.6129073766468522
108.249064,-15.662966498170986,0.36967556366932186
115.832043,-15.888648744817967,0.184973631515863
123.393773,-16.14156850399131,0.06327684961168245
131.131574,-16.018943009493054,0.004583784001127356
138.769123,-16.061801503021254,0.013191603388655437
146.505991,-16.001739295911847,0.09057257451679845
154.252805,-15.958048620640627,0.23856174002529684
161.848302,-15.547964423345864,0.45339275483987684
169.36659,-15.327536032553327,0.735225655543827
177.362643,-14.979054555787942,1.1118140098207352
185.145467,-14.721248387817571,1.555742681557934
192.695534,-13.767567805437622,2.0605790062400366
200.468266,-13.546073010888797,2.6578862060203257
208.025968,-12.696685934625267,3.3153573233226297
215.562366,-12.322978996014651,4.04746004975487
223.76853,-11.384694080757932,4.932864549465023
