Timestamp,EPC,Frequency,PhaseAngle,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
13.617712,000000000000000000000588,902.750000,-2.184389,-2.184389,6.117515,-2.047119,6.058579
23.767828,000000000000000000000588,902.750000,-3.104777,-3.104777,5.197127,-3.148088,4.957609
33.906170,000000000000000000000588,902.750000,-3.994486,-3.994486,4.307418,-4.139050,3.966648
44.053589,000000000000000000000588,902.750000,-4.908739,-4.908739,3.393166,-5.021663,3.084034
54.219203,000000000000000000000588,902.750000,-5.865943,-5.865943,2.435961,-5.795860,2.309838
64.381827,000000000000000000000588,902.750000,-0.153398,-6.436583,1.865321,-6.459356,1.646342
74.539529,000000000000000000000588,902.750000,-0.742447,-7.025632,1.276272,-7.011732,1.093965
84.680737,000000000000000000000588,902.750000,-1.122874,-7.406059,0.895845,-7.452289,0.653409
94.829191,000000000000000000000588,902.750000,-1.349903,-7.633088,0.668816,-7.781787,0.323911
105.002688,000000000000000000000588,902.750000,-1.730330,-8.013516,0.288388,-7.999850,0.105847
115.142376,000000000000000000000588,902.750000,-2.000311,-8.283496,0.018408,-8.104941,0.000756
125.286100,000000000000000000000588,902.750000,-1.975767,-8.258953,0.042951,-8.097525,0.008173
135.439354,000000000000000000000588,902.750000,-1.791690,-8.074875,0.227029,-7.976951,0.128747
145.596104,000000000000000000000588,902.750000,-1.521709,-7.804894,0.497010,-7.742651,0.363047
155.728264,000000000000000000000588,902.750000,-1.061515,-7.344700,0.957204,-7.395207,0.710491
165.894463,000000000000000000000588,902.750000,-0.558369,-6.841554,1.460350,-6.932027,1.173671
176.040220,000000000000000000000588,902.750000,-0.018408,-6.301593,2.000311,-6.354942,1.750756
186.208359,000000000000000000000588,902.750000,-5.528467,-5.528467,2.773437,-5.661061,2.444636
196.390974,000000000000000000000588,902.750000,-4.706253,-4.706253,3.595651,-4.849871,3.255827
206.509014,000000000000000000000588,902.750000,-3.963806,-3.963806,4.338098,-3.928105,4.177593
216.668179,000000000000000000000588,902.750000,-3.061826,-3.061826,5.240078,-2.886116,5.219582
