Timestamp,EPC,Frequency,PhaseAngle,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
0.000000,588,902.750000,-7.315838,-7.315838,9.897305,-7.054459,9.826512
0.613223,588,902.750000,-2.063988,-8.347173,8.865970,-8.189190,8.691780
1.227032,588,902.750000,-2.817767,-9.100953,8.112190,-9.259392,7.621579
1.839385,588,902.750000,-3.847102,-10.130287,7.082856,-10.260803,6.620168
2.453255,588,902.750000,-4.789216,-11.072402,6.140741,-11.197434,5.683536
3.065378,588,902.750000,-5.626581,-11.909766,5.303377,-12.063506,4.817465
3.668165,588,902.750000,-6.636568,-12.919754,4.293389,-12.849300,4.031670
4.281778,588,902.750000,-7.118989,-13.402174,3.810969,-13.580022,3.300948
4.903191,588,902.750000,-7.754246,-14.037431,3.175712,-14.248039,2.632932
5.506026,588,902.750000,-8.407472,-14.690657,2.522486,-14.826028,2.054942
6.117850,588,902.750000,-8.955447,-15.238633,1.974510,-15.341263,1.539707
6.726617,588,902.750000,-9.381144,-15.664329,1.548814,-15.781738,1.099232
7.322351,588,902.750000,-3.619573,-16.185943,1.027200,-16.142282,0.738688
7.936584,588,902.750000,-3.972638,-16.539009,0.674134,-16.440181,0.440789
8.549194,588,902.750000,-4.360702,-16.927072,0.286071,-16.661788,0.219183
9.161228,588,902.750000,-4.575020,-17.141391,0.071752,-16.807050,0.073920
9.770401,588,902.750000,-4.640637,-17.207007,0.006136,-16.875237,0.005733
10.381186,588,902.750000,-4.523993,-17.090364,0.122779,-16.866256,0.014714
10.997630,588,902.750000,-4.414047,-16.980417,0.232726,-16.777817,0.103154
11.608484,588,902.750000,-4.241301,-16.807672,0.405471,-16.610683,0.270287
12.219058,588,902.750000,-3.822558,-16.388929,0.824214,-16.363714,0.517257
12.831202,588,902.750000,-3.420905,-15.987276,1.225867,-16.035073,0.845897
13.440821,588,902.750000,-2.951318,-15.517689,1.695454,-15.626320,1.254650
14.053358,588,902.750000,-8.604260,-14.887446,2.325697,-15.132893,1.748077
14.665581,588,902.750000,-7.984971,-14.268157,2.944986,-14.556031,2.324939
15.276015,588,902.750000,-7.564032,-13.847217,3.365926,-13.896724,2.984246
15.886539,588,902.750000,-6.717336,-13.000521,4.212622,-13.152462,3.728508
16.496107,588,902.750000,-5.933438,-12.216623,4.996520,-12.323875,4.557095
17.106633,588,902.750000,-4.982687,-11.265872,5.947271,-11.407533,5.473438
17.707775,588,902.750000,-4.188774,-10.471960,6.741183,-10.419932,6.461039
18.321275,588,902.750000,-9.560025,-9.560025,7.653118,-9.323891,7.557079
