timestamp,Phase,shiftedRegressedUnwrappedPhase
0.210381,-9.37773588327422,3.7628845849612844
7.85075,-10.276107219991244,3.1019710127476507
15.398772,-10.637372729362003,2.512662363071696
22.970484,-11.046706980493799,1.9847016566204427
30.511737,-11.932495664342872,1.5214525207040985
38.287691,-12.216111667791951,1.1088481753432031
46.082998,-12.613276338006521,0.7611671970555722
54.063835,-12.826124694441145,0.47324373400534014
61.5592,-12.876503852948543,0.265171595279428
69.335949,-12.960557192579483,0.11276242428135674
76.905025,-13.014702065965217,0.02616427434900004
84.486615,-13.20713630347026,0.00014572643727106538
92.032284,-13.333361008301992,0.03426374580005742
99.561949,-13.005089119694468,0.12766382476839766
107.12809,-12.890087044869343,0.2809114831972028
114.895969,-12.713632769996194,0.4998410346520217
122.425132,-12.413313420190137,0.7712677423853496
130.000622,-12.091301412777618,1.102872846662308
137.554416,-11.64791980157038,1.4916358564341383
145.155009,-11.408726446434809,1.9410401603528857
152.667204,-10.632468251898512,2.4422889728177264
160.236024,-10.1148647845462,3.004368432017607
167.999394,-9.623172809335927,3.6400444378839314
175.586239,-9.288618904168484,4.318799758807751
183.558105,-8.24078541695898,5.092908482727214
191.090417,-7.262887703709218,5.881339982777727
198.863392,-6.230007306532883,6.752683844622888
206.451982,-5.332117218690491,7.659579358183063
214.402943,-4.078343588058624,8.669004122204441
223.778227,-3.6222399671272942,9.936604000770092
